departure_bin,stability_fidelity_bin,n,correctness,departure_center,stability_fidelity_center,reconstruction_score,stability_guard
"(-1.899, -1.05]","(1.159, 3.521]",160,0.61875,-1.595026918499844,2.3992648366343863,1.30103,3.064759714513084
"(-1.05, -0.425]","(-3.108, -1.397]",68,0.38235294117647056,-0.8145131485971905,-1.7719706295875208,0.380042,-4.333561895438377
"(-1.05, -0.425]","(-1.397, -0.749]",242,0.512396694214876,-0.8153837382649611,-1.255171044678884,0.509555,-2.5050492690206885
"(-1.05, -0.425]","(-0.749, -0.344]",113,0.6991150442477876,-0.6631382312444121,-0.5927113142775475,0.613265,-1.3695383857388874
"(-1.05, -0.425]","(-0.344, -0.0112]",62,0.5645161290322581,-0.5912224768291824,-0.11222161550883228,0.6286235,-0.024567030562759638
"(-1.05, -0.425]","(-0.0112, 0.205]",231,0.6277056277056277,-0.5359168019611277,0.1335854641634931,0.648083,0.8420203570978806
"(-1.05, -0.425]","(0.205, 0.486]",136,0.5808823529411765,-0.7074572895245002,0.4171644699738757,0.771083,0.898106866807698
"(-1.05, -0.425]","(0.486, 1.159]",112,0.5982142857142857,-0.8971633992523145,0.5458505637747497,0.810448,0.9255173571419244
"(-1.05, -0.425]","(1.159, 3.521]",142,0.6971830985915493,-0.7148028656029445,1.4143203916582814,0.919835,3.179000696271255
"(-0.425, -0.00343]","(-3.108, -1.397]",174,0.3275862068965517,-0.34163359472492216,-1.7781828525070598,0.259007,-2.3809730096501793
"(-0.425, -0.00343]","(-1.397, -0.749]",248,0.5564516129032258,-0.16447005541507417,-1.0052252814069897,0.518149,-2.0649874610105883
"(-0.425, -0.00343]","(-0.749, -0.344]",241,0.6473029045643154,-0.2204660342286881,-0.528404944307328,0.60454,-0.4991495532867962
"(-0.425, -0.00343]","(-0.344, -0.0112]",155,0.5225806451612903,-0.21460173816416375,-0.1517301740020611,0.645743,-0.2600092455597434
"(-0.425, -0.00343]","(-0.0112, 0.205]",119,0.6134453781512605,-0.21583107958504993,0.12547898841605537,0.708514,0.39354218753968684
"(-0.425, -0.00343]","(0.205, 0.486]",35,0.5142857142857142,-0.2966445539587762,0.2737961598587509,0.66654,1.407321562009892
"(-0.425, -0.00343]","(0.486, 1.159]",65,0.676923076923077,-0.22068164801496892,0.5785646469879429,0.795378,1.226927742943794
"(-0.425, -0.00343]","(1.159, 3.521]",70,0.5714285714285714,-0.10005563308373361,1.3254343421721084,0.919835,2.9318635122062346
"(-0.00343, 0.203]","(-3.108, -1.397]",175,0.48,0.05792460970706688,-1.719992615129164,0.39083,-3.6379518011011727
"(-0.00343, 0.203]","(-1.397, -0.749]",270,0.6,0.04200087565728834,-1.012037394675719,0.51499,-2.104209642157157
"(-0.00343, 0.203]","(-0.749, -0.344]",109,0.5779816513761468,0.13245248833301349,-0.40807891675532637,0.606454,-0.801868819514393
